Evaluation,Generation 0: owPPD,Generation 0: NSE,Generation 1: owPPD,Generation 1: NSE,Generation 2: owPPD,Generation 2: NSE,Generation 3: owPPD,Generation 3: NSE,Generation 4: owPPD,Generation 4: NSE,Generation 5: owPPD,Generation 5: NSE,Generation 6: owPPD,Generation 6: NSE,Generation 7: owPPD,Generation 7: NSE,Generation 8: owPPD,Generation 8: NSE,Generation 9: owPPD,Generation 9: NSE,Generation 10: owPPD,Generation 10: NSE,Generation 11: owPPD,Generation 11: NSE,Generation 12: owPPD,Generation 12: NSE,Generation 13: owPPD,Generation 13: NSE,Generation 14: owPPD,Generation 14: NSE,Generation 15: owPPD,Generation 15: NSE,Generation 16: owPPD,Generation 16: NSE,Generation 17: owPPD,Generation 17: NSE,Generation 18: owPPD,Generation 18: NSE,Generation 19: owPPD,Generation 19: NSE,Generation 20: owPPD,Generation 20: NSE,Generation 21: owPPD,Generation 21: NSE,Generation 22: owPPD,Generation 22: NSE,Generation 23: owPPD,Generation 23: NSE,Generation 24: owPPD,Generation 24: NSE,Generation 25: owPPD,Generation 25: NSE,Generation 26: owPPD,Generation 26: NSE,Generation 27: owPPD,Generation 27: NSE,Generation 28: owPPD,Generation 28: NSE,Generation 29: owPPD,Generation 29: NSE,Generation 30: owPPD,Generation 30: NSE,Generation 31: owPPD,Generation 31: NSE,Generation 32: owPPD,Generation 32: NSE,Generation 33: owPPD,Generation 33: NSE,Generation 34: owPPD,Generation 34: NSE,Generation 35: owPPD,Generation 35: NSE,Generation 36: owPPD,Generation 36: NSE,Generation 37: owPPD,Generation 37: NSE,Generation 38: owPPD,Generation 38: NSE,Generation 39: owPPD,Generation 39: NSE,Generation 40: owPPD,Generation 40: NSE,Generation 41: owPPD,Generation 41: NSE,Generation 42: owPPD,Generation 42: NSE,Generation 43: owPPD,Generation 43: NSE,Generation 44: owPPD,Generation 44: NSE,Generation 45: owPPD,Generation 45: NSE,Generation 46: owPPD,Generation 46: NSE,Generation 47: owPPD,Generation 47: NSE,Generation 48: owPPD,Generation 48: NSE
73,11.98,1633.33,9.32,1650.0,9.84,1636.11,10.05,1613.89,9.68,1627.78,9.84,1600.0,12.5,1544.44,6.98,1677.78,7.39,1661.11,12.51,1536.11,19.2,1500.0,9.22,1591.67,7.52,1641.67,9.14,1591.67,9.39,1583.33,15.27,1508.33,12.19,1533.33,11.74,1541.67,12.74,1522.22,7.22,1633.33,12.96,1519.44,7.95,1608.33,9.88,1561.11,9.09,1580.56,11.95,1536.11,8.84,1588.89,9.7,1552.78,11.12,1547.22,11.37,1538.89,7.58,1613.89,15.22,1500.0,12.04,1530.56,10.95,1547.22,13.11,1513.89,15.76,1497.22,10.74,1541.67,6.78,1611.11,8.16,1591.67,7.44,1597.22,13.76,1505.56,19.44,1477.78,6.14,1661.11,6.34,1636.11,8.07,1583.33,10.61,1541.67,6.13,1663.89,14.95,1502.78,18.75,1480.56,18.75,1480.56
74,12.21,1622.22,9.92,1641.67,10.12,1633.33,11.12,1594.44,11.96,1586.11,8.26,1650.0,8.26,1641.67,8.15,1647.22,8.25,1630.56,7.39,1661.11,16.24,1519.44,19.1,1500.0,7.4,1644.44,6.58,1666.67,9.39,1583.33,12.19,1533.33,6.87,1644.44,11.64,1544.44,8.6,1602.78,6.7,1650.0,7.87,1611.11,7.62,1616.67,11.32,1547.22,16.47,1500.0,7.62,1616.67,11.37,1538.89,7.5,1619.44,11.37,1538.89,7.46,1619.44,11.12,1547.22,14.74,1505.56,12.6,1522.22,11.37,1538.89,7.19,1608.33,17.48,1488.89,10.48,1547.22,15.76,1497.22,9.71,1550.0,17.82,1486.11,7.44,1597.22,18.84,1483.33,19.44,1477.78,6.32,1644.44,7.47,1594.44,6.13,1663.89,19.44,1477.78,6.45,1625.0,6.76,1605.56,7.47,1594.44
75,14.35,1602.78,10.09,1638.89,12.35,1586.11,11.98,1591.67,12.9,1558.33,8.28,1641.67,8.28,1636.11,8.15,1647.22,10.26,1583.33,18.68,1525.0,14.54,1522.22,6.52,1686.11,7.52,1641.67,6.56,1675.0,9.39,1583.33,12.31,1530.56,12.31,1530.56,12.19,1533.33,7.22,1633.33,9.88,1561.11,7.95,1608.33,8.61,1594.44,7.95,1608.33,6.6,1627.78,7.72,1608.33,9.7,1552.78,8.75,1586.11,9.7,1552.78,8.91,1575.0,6.72,1622.22,8.37,1586.11,17.4,1491.67,6.22,1658.33,10.48,1547.22,13.87,1511.11,15.76,1497.22,10.74,1541.67,6.78,1611.11,8.16,1591.67,8.66,1575.0,15.0,1500.0,8.37,1580.56,8.2,1580.56,8.61,1572.22,18.75,1480.56,17.72,1483.33,17.7,1488.89,13.76,1505.56,13.76,1505.56
76,13.89,1605.56,10.51,1627.78,15.59,1555.56,12.22,1586.11,12.27,1583.33,7.91,1655.56,8.55,1633.33,19.59,1527.78,7.88,1647.22,11.54,1555.56,18.11,1508.33,16.42,1513.89,8.19,1625.0,6.63,1658.33,14.05,1513.89,12.06,1538.89,7.29,1633.33,12.31,1530.56,6.7,1650.0,10.05,1558.33,7.15,1636.11,12.96,1519.44,10.05,1558.33,6.6,1627.78,8.62,1591.67,9.69,1555.56,11.37,1538.89,9.1,1577.78,9.6,1555.56,13.92,1511.11,11.12,1547.22,7.68,1600.0,15.22,1500.0,16.96,1491.67,13.98,1508.33,13.11,1513.89,6.51,1630.56,15.7,1497.22,16.58,1491.67,17.82,1486.11,6.49,1622.22,18.84,1483.33,10.17,1547.22,9.16,1555.56,7.39,1597.22,15.88,1494.44,12.03,1530.56,6.76,1619.44,6.74,1619.44
77,14.74,1594.44,10.51,1627.78,18.03,1550.0,12.49,1580.56,12.4,1580.56,7.91,1655.56,10.32,1594.44,8.25,1630.56,7.14,1669.44,10.58,1572.22,17.1,1513.89,13.94,1516.67,8.0,1636.11,6.58,1666.67,8.85,1611.11,18.05,1500.0,11.76,1538.89,7.68,1616.67,9.22,1583.33,7.15,1636.11,11.95,1536.11,7.14,1633.33,8.27,1600.0,6.6,1627.78,12.9,1519.44,11.95,1536.11,9.6,1555.56,7.46,1619.44,7.92,1600.0,8.41,1586.11,6.72,1622.22,15.22,1500.0,10.19,1550.0,11.35,1538.89,9.97,1550.0,17.48,1488.89,13.11,1513.89,10.74,1541.67,6.52,1619.44,6.43,1636.11,8.09,1591.67,10.48,1547.22,6.13,1666.67,19.44,1477.78,6.19,1647.22,6.76,1605.56,9.15,1555.56,6.45,1625.0,12.17,1522.22
78,12.78,1611.11,14.75,1583.33,13.26,1580.56,10.62,1605.56,12.89,1569.44,7.22,1694.44,10.65,1588.89,8.25,1630.56,12.18,1544.44,8.67,1619.44,12.37,1530.56,18.11,1508.33,7.62,1638.89,18.16,1502.78,11.32,1547.22,17.01,1502.78,11.64,1544.44,8.82,1597.22,7.15,1636.11,9.38,1577.78,6.69,1652.78,6.7,1650.0,8.26,1602.78,6.6,1627.78,12.31,1530.56,7.62,1616.67,11.95,1536.11,9.6,1555.56,11.95,1536.11,8.91,1575.0,7.46,1619.44,14.74,1505.56,14.68,1505.56,6.22,1658.33,6.22,1658.33,13.87,1511.11,12.93,1516.67,12.93,1516.67,12.27,1522.22,8.16,1591.67,6.78,1611.11,11.25,1538.89,19.44,1477.78,6.13,1666.67,16.25,1491.67,8.2,1580.56,15.0,1500.0,16.84,1488.89,6.45,1625.0
79,12.75,1619.44,11.49,1608.33,14.93,1558.33,9.94,1627.78,12.43,1577.78,18.23,1530.56,9.84,1600.0,8.25,1630.56,7.78,1652.78,8.15,1641.67,11.79,1541.67,12.36,1530.56,8.03,1627.78,9.39,1583.33,6.55,1675.0,18.44,1497.22,6.47,1680.56,8.97,1594.44,11.99,1536.11,9.22,1583.33,11.41,1544.44,9.88,1561.11,11.42,1538.89,12.9,1519.44,6.38,1650.0,7.72,1608.33,8.62,1591.67,11.95,1536.11,8.36,1594.44,9.17,1569.44,19.08,1486.11,11.12,1547.22,16.22,1494.44,15.22,1500.0,9.56,1555.56,9.97,1550.0,13.87,1511.11,6.51,1630.56,10.48,1547.22,16.58,1491.67,13.76,1505.56,7.44,1597.22,12.27,1522.22,15.0,1500.0,8.03,1586.11,6.35,1636.11,13.4,1508.33,12.03,1530.56,16.84,1488.89
80,12.61,1630.56,11.29,1613.89,14.74,1561.11,9.94,1627.78,8.38,1641.67,12.6,1544.44,7.87,1655.56,7.44,1669.44,10.08,1597.22,8.25,1630.56,9.33,1594.44,9.28,1594.44,14.44,1511.11,9.45,1580.56,15.41,1508.33,6.55,1658.33,7.81,1622.22,9.43,1580.56,6.7,1652.78,11.95,1536.11,12.74,1522.22,11.32,1547.22,12.96,1519.44,13.1,1516.67,7.75,1605.56,9.39,1572.22,12.31,1530.56,8.62,1591.67,9.7,1552.78,8.64,1580.56,13.92,1511.11,13.92,1511.11,7.52,1605.56,14.68,1505.56,8.48,1580.56,9.56,1555.56,12.42,1522.22,12.04,1530.56,17.48,1488.89,7.25,1605.56,7.44,1597.22,15.0,1500.0,12.0,1536.11,17.6,1486.11,6.42,1619.44,15.0,1500.0,9.78,1550.0,9.15,1555.56,8.54,1577.78
81,14.58,1605.56,12.64,1602.78,13.79,1566.67,9.94,1622.22,8.38,1641.67,7.91,1655.56,7.59,1672.22,7.81,1655.56,7.62,1658.33,6.54,1683.33,9.12,1613.89,9.22,1611.11,14.44,1511.11,9.39,1583.33,12.7,1525.0,6.55,1658.33,9.27,1586.11,9.22,1583.33,11.41,1544.44,6.69,1652.78,12.31,1530.56,10.05,1558.33,12.66,1522.22,13.1,1516.67,9.33,1577.78,8.62,1591.67,7.75,1605.56,11.36,1544.44,11.32,1544.44,13.17,1513.89,15.76,1497.22,15.76,1497.22,12.6,1522.22,16.16,1494.44,6.62,1622.22,13.98,1508.33,16.16,1494.44,6.36,1644.44,15.63,1497.22,11.25,1538.89,17.6,1486.11,8.09,1591.67,18.84,1483.33,18.84,1483.33,6.13,1666.67,10.09,1552.78,8.81,1575.0,16.76,1491.67,7.37,1597.22
82,17.46,1594.44,12.19,1605.56,13.7,1572.22,17.48,1544.44,15.32,1544.44,14.94,1538.89,7.46,1677.78,7.81,1655.56,8.59,1625.0,12.18,1544.44,10.04,1583.33,10.65,1566.67,12.74,1527.78,20.07,1497.22,7.52,1625.0,6.52,1663.89,9.39,1583.33,6.41,1677.78,12.56,1527.78,11.41,1544.44,12.19,1533.33,11.95,1536.11,12.19,1533.33,11.27,1547.22,12.06,1533.33,12.31,1530.56,7.58,1613.89,12.22,1530.56,12.6,1522.22,15.76,1497.22,13.17,1513.89,13.17,1513.89,12.04,1530.56,13.92,1511.11,11.35,1538.89,12.93,1516.67,8.37,1586.11,7.65,1597.22,9.71,1550.0,10.48,1547.22,16.58,1491.67,6.45,1616.67,11.0,1538.89,6.76,1605.56,19.44,1477.78,13.42,1511.11,7.38,1600.0,13.4,1508.33,16.76,1491.67
83,15.14,1597.22,16.96,1566.67,13.67,1575.0,8.81,1677.78,15.01,1547.22,16.75,1533.33,7.64,1661.11,7.62,1658.33,9.67,1600.0,7.14,1669.44,13.5,1525.0,11.74,1541.67,19.08,1500.0,6.45,1694.44,7.81,1622.22,6.5,1675.0,11.74,1541.67,8.31,1608.33,12.31,1530.56,12.31,1530.56,11.71,1541.67,11.62,1538.89,16.77,1500.0,8.85,1591.67,12.64,1522.22,7.75,1605.56,7.72,1608.33,7.75,1605.56,8.22,1597.22,9.42,1563.89,11.95,1536.11,11.95,1536.11,13.92,1511.11,12.6,1522.22,8.66,1575.0,11.35,1538.89,9.71,1550.0,16.16,1494.44,6.78,1611.11,17.48,1488.89,11.25,1538.89,6.16,1655.56,6.76,1605.56,13.76,1505.56,11.04,1547.22,12.27,1522.22,10.76,1538.89,9.78,1550.0,11.96,1530.56
84,13.79,1613.89,17.44,1563.89,11.78,1600.0,16.37,1547.22,13.79,1550.0,15.9,1536.11,7.02,1688.89,12.5,1544.44,12.42,1538.89,7.52,1652.78,8.54,1619.44,10.07,1572.22,6.52,1686.11,14.63,1511.11,7.52,1625.0,13.99,1513.89,9.45,1577.78,17.01,1502.78,11.74,1541.67,12.19,1533.33,9.51,1572.22,7.23,1630.56,11.4,1541.67,12.64,1522.22,6.33,1655.56,6.38,1650.0,11.36,1544.44,8.75,1586.11,7.75,1605.56,11.37,1538.89,9.42,1563.89,6.72,1622.22,15.76,1497.22,12.04,1530.56,9.42,1563.89,8.66,1575.0,9.56,1555.56,6.43,1636.11,10.74,1541.67,15.45,1497.22,7.25,1605.56,13.76,1505.56,13.0,1513.89,16.57,1491.67,12.27,1522.22,10.76,1538.89,9.05,1566.67,7.38,1600.0,13.4,1508.33
85,13.24,1616.67,16.84,1569.44,9.36,1661.11,15.35,1552.78,16.6,1538.89,11.49,1580.56,18.15,1530.56,9.36,1613.89,9.45,1611.11,12.42,1538.89,13.16,1527.78,8.49,1613.89,16.04,1513.89,18.11,1508.33,7.3,1641.67,19.2,1497.22,9.52,1575.0,17.75,1500.0,12.19,1533.33,9.53,1572.22,8.88,1588.89,11.4,1541.67,12.31,1530.56,7.72,1608.33,13.1,1516.67,11.36,1544.44,12.06,1533.33,7.58,1613.89,8.82,1583.33,14.2,1508.33,11.37,1538.89,9.42,1563.89,7.27,1613.89,15.76,1497.22,7.46,1605.56,6.23,1650.0,8.48,1580.56,8.37,1586.11,16.16,1494.44,9.56,1555.56,12.27,1522.22,17.6,1486.11,7.44,1597.22,16.0,1494.44,10.09,1552.78,13.76,1505.56,10.51,1547.22,9.05,1566.67,6.34,1636.11
86,12.84,1636.11,15.71,1572.22,16.1,1555.56,10.11,1616.67,10.31,1608.33,9.73,1616.67,14.75,1533.33,9.65,1605.56,6.75,1675.0,8.36,1627.78,9.31,1602.78,11.09,1561.11,18.11,1508.33,8.46,1613.89,7.32,1636.11,6.44,1688.89,9.43,1580.56,7.07,1641.67,8.38,1605.56,11.74,1541.67,12.56,1527.78,6.69,1652.78,8.85,1591.67,7.75,1605.56,12.52,1527.78,9.33,1577.78,12.64,1522.22,7.72,1608.33,7.58,1613.89,7.46,1619.44,9.7,1552.78,11.37,1538.89,6.66,1622.22,17.64,1488.89,11.81,1533.33,7.19,1608.33,11.35,1538.89,9.56,1555.56,6.51,1630.56,13.0,1513.89,6.43,1636.11,6.43,1636.11,15.0,1500.0,9.16,1555.56,17.72,1483.33,7.39,1597.22,6.34,1636.11,10.76,1538.89,9.78,1550.0
87,14.98,1611.11,12.99,1591.67,15.13,1558.33,13.79,1566.67,11.12,1594.44,11.87,1569.44,12.13,1561.11,9.53,1608.33,6.66,1677.78,8.56,1622.22,11.09,1561.11,13.5,1525.0,13.94,1516.67,9.11,1600.0,8.44,1613.89,18.05,1500.0,11.74,1541.67,6.85,1644.44,11.76,1538.89,9.14,1586.11,9.11,1586.11,12.74,1522.22,8.88,1588.89,7.62,1616.67,12.57,1525.0,12.06,1533.33,6.38,1650.0,6.38,1650.0,7.72,1608.33,8.36,1594.44,14.2,1508.33,9.7,1552.78,11.95,1536.11,9.7,1552.78,12.04,1530.56,9.42,1563.89,8.66,1575.0,11.35,1538.89,13.11,1513.89,16.16,1494.44,15.45,1497.22,9.14,1569.44,8.09,1591.67,12.27,1522.22,11.85,1533.33,19.38,1480.56,11.4,1536.11,10.51,1547.22,8.91,1569.44
88,15.45,1597.22,13.82,1588.89,13.76,1575.0,8.94,1672.22,10.54,1605.56,9.11,1625.0,12.95,1536.11,11.8,1550.0,10.12,1588.89,6.75,1675.0,6.99,1669.44,9.76,1586.11,9.22,1611.11,10.01,1572.22,6.44,1688.89,10.28,1555.56,14.44,1511.11,19.54,1491.67,9.43,1580.56,8.88,1588.89,9.14,1583.33,12.31,1530.56,12.52,1527.78,7.92,1600.0,20.3,1486.11,12.64,1522.22,12.9,1519.44,12.52,1527.78,12.22,1530.56,11.95,1536.11,9.57,1558.33,8.37,1586.11,9.7,1552.78,9.42,1563.89,12.36,1527.78,7.46,1605.56,6.23,1650.0,6.23,1650.0,12.04,1530.56,9.71,1550.0,9.56,1555.56,16.58,1491.67,9.56,1555.56,6.23,1647.22,6.76,1605.56,9.16,1555.56,11.42,1533.33,6.34,1636.11,10.76,1538.89
89,15.17,1608.33,9.77,1652.78,10.45,1627.78,9.79,1633.33,10.82,1600.0,12.21,1561.11,12.52,1538.89,11.6,1555.56,7.09,1672.22,6.66,1677.78,10.94,1569.44,13.15,1527.78,9.27,1591.67,19.08,1500.0,20.07,1497.22,15.41,1508.33,7.21,1636.11,19.54,1491.67,11.32,1547.22,12.56,1527.78,9.36,1580.56,12.19,1533.33,9.11,1586.11,10.65,1550.0,6.6,1627.78,12.9,1519.44,6.33,1655.56,12.64,1522.22,12.9,1519.44,8.13,1597.22,8.51,1580.56,14.2,1508.33,9.42,1563.89,12.55,1525.0,11.46,1536.11,12.6,1522.22,7.19,1608.33,7.49,1600.0,13.62,1508.33,12.0,1536.11,13.0,1513.89,12.27,1522.22,13.76,1505.56,6.45,1616.67,13.42,1511.11,12.25,1530.56,9.59,1552.78,11.4,1536.11,10.51,1547.22
90,13.69,1633.33,9.92,1650.0,13.31,1586.11,9.12,1655.56,8.15,1661.11,10.82,1600.0,7.64,1669.44,14.71,1530.56,11.9,1547.22,10.47,1575.0,11.31,1552.78,6.99,1669.44,8.46,1613.89,12.36,1530.56,15.88,1508.33,11.74,1541.67,9.39,1583.33,6.48,1658.33,12.7,1525.0,11.32,1547.22,11.32,1547.22,8.85,1591.67,7.85,1613.89,9.7,1552.78,7.92,1600.0,6.33,1655.56,12.95,1516.67,6.33,1655.56,6.38,1650.0,9.7,1552.78,8.66,1575.0,7.24,1619.44,7.24,1619.44,10.19,1550.0,9.01,1569.44,11.81,1533.33,9.42,1563.89,11.81,1533.33,6.36,1644.44,10.74,1541.67,16.16,1494.44,16.0,1494.44,17.6,1486.11,10.19,1552.78,6.35,1636.11,9.05,1566.67,6.15,1652.78,11.42,1533.33,9.15,1555.56
91,13.78,1616.67,9.92,1650.0,12.9,1588.89,14.74,1561.11,8.14,1669.44,8.32,1641.67,7.46,1677.78,7.02,1688.89,8.36,1627.78,7.88,1647.22,7.24,1661.11,6.75,1675.0,12.36,1530.56,6.76,1669.44,18.16,1502.78,9.53,1572.22,11.64,1544.44,6.48,1658.33,9.45,1577.78,8.38,1605.56,11.76,1538.89,8.88,1588.89,9.14,1583.33,9.7,1552.78,14.62,1508.33,12.95,1516.67,12.52,1527.78,12.9,1519.44,8.84,1580.56,11.32,1544.44,9.17,1569.44,9.57,1558.33,12.55,1525.0,14.18,1508.33,9.7,1552.78,12.04,1530.56,7.46,1605.56,7.25,1605.56,6.43,1636.11,6.78,1611.11,9.71,1550.0,13.0,1513.89,6.45,1616.67,9.09,1566.67,15.0,1500.0,6.16,1652.78,6.13,1661.11,9.59,1552.78,11.4,1536.11
92,15.7,1597.22,10.31,1644.44,10.54,1616.67,11.53,1597.22,16.77,1538.89,9.99,1608.33,7.91,1655.56,14.23,1533.33,9.5,1605.56,7.09,1672.22,11.59,1550.0,9.87,1580.56,8.14,1627.78,10.44,1561.11,10.31,1555.56,9.38,1588.89,18.05,1500.0,12.74,1522.22,9.52,1575.0,11.76,1538.89,12.57,1525.0,12.56,1527.78,9.36,1580.56,9.7,1552.78,8.84,1588.89,12.52,1527.78,12.57,1525.0,8.84,1580.56,6.33,1655.56,12.6,1522.22,9.01,1572.22,8.51,1580.56,8.37,1586.11,9.57,1558.33,9.39,1566.67,12.36,1527.78,6.43,1636.11,7.19,1608.33,8.37,1586.11,13.62,1508.33,9.39,1566.67,6.77,1605.56,16.57,1491.67,7.44,1597.22,13.76,1505.56,8.81,1575.0,6.31,1641.67,8.79,1577.78,6.14,1652.78
93,13.82,1619.44,10.91,1641.67,14.62,1566.67,11.14,1600.0,8.23,1663.89,10.19,1602.78,11.11,1580.56,12.95,1536.11,10.09,1591.67,11.9,1547.22,10.58,1572.22,11.31,1552.78,11.74,1541.67,8.03,1619.44,14.63,1511.11,8.45,1613.89,7.52,1625.0,12.7,1525.0,19.54,1491.67,12.57,1525.0,8.85,1591.67,9.11,1586.11,13.1,1516.67,9.69,1555.56,12.57,1525.0,12.57,1525.0,7.54,1616.67,20.22,1483.33,12.95,1516.67,9.57,1558.33,11.32,1544.44,8.11,1594.44,14.2,1508.33,8.48,1580.56,8.95,1572.22,8.48,1580.56,11.81,1533.33,8.48,1580.56,11.35,1538.89,12.89,1519.44,17.48,1488.89,9.56,1555.56,10.41,1547.22,8.07,1591.67,6.21,1647.22,11.42,1533.33,6.19,1647.22,6.14,1652.78,9.59,1552.78
94,14.58,1641.67,11.21,1630.56,12.37,1597.22,12.21,1594.44,8.43,1644.44,8.29,1650.0,10.68,1588.89,10.32,1594.44,11.71,1552.78,7.57,1650.0,6.54,1683.33,7.24,1661.11,10.01,1572.22,12.88,1527.78,10.01,1572.22,7.93,1625.0,13.89,1513.89,12.74,1522.22,8.38,1605.56,9.46,1575.0,9.46,1575.0,7.85,1613.89,12.57,1525.0,6.38,1650.0,9.7,1552.78,9.37,1575.0,16.88,1497.22,12.95,1516.67,12.06,1533.33,6.33,1655.56,6.33,1655.56,9.17,1569.44,9.57,1558.33,7.47,1605.56,6.26,1652.78,8.37,1586.11,11.46,1536.11,11.46,1536.11,8.48,1580.56,12.27,1522.22,8.37,1580.56,12.0,1536.11,9.14,1569.44,6.35,1636.11,9.16,1555.56,7.38,1600.0,10.61,1541.67,6.13,1661.11,6.19,1647.22
95,14.8,1619.44,10.12,1652.78,10.09,1638.89,10.7,1605.56,8.84,1633.33,8.64,1633.33,9.62,1613.89,7.87,1655.56,11.8,1550.0,10.17,1577.78,8.36,1627.78,8.47,1625.0,7.28,1650.0,6.92,1655.56,18.76,1500.0,14.63,1511.11,7.52,1625.0,15.2,1508.33,15.63,1505.56,8.85,1591.67,9.38,1577.78,9.14,1583.33,7.87,1611.11,6.31,1658.33,7.5,1619.44,6.6,1627.78,20.29,1483.33,12.06,1533.33,6.29,1661.11,12.22,1530.56,6.38,1650.0,8.66,1575.0,8.48,1580.56,9.17,1569.44,12.55,1525.0,11.46,1536.11,9.01,1569.44,9.01,1569.44,9.56,1555.56,6.49,1622.22,12.0,1536.11,9.24,1566.67,6.35,1636.11,11.85,1533.33,7.44,1597.22,11.4,1536.11,8.97,1569.44,6.31,1641.67,11.42,1533.33
96,15.57,1625.0,15.74,1572.22,11.14,1608.33,13.7,1572.22,13.08,1558.33,11.35,1591.67,10.33,1594.44,9.01,1619.44,9.51,1602.78,7.97,1644.44,6.75,1675.0,8.0,1636.11,10.53,1566.67,7.92,1633.33,11.74,1541.67,13.35,1519.44,9.39,1583.33,11.99,1536.11,19.54,1491.67,8.38,1605.56,12.74,1522.22,9.36,1580.56,7.95,1608.33,6.33,1655.56,6.6,1627.78,14.62,1508.33,19.0,1491.67,7.54,1616.67,12.43,1527.78,6.38,1650.0,12.9,1519.44,7.53,1608.33,9.17,1569.44,8.66,1575.0,6.3,1650.0,9.01,1569.44,6.38,1644.44,9.39,1566.67,8.66,1575.0,8.37,1586.11,13.62,1508.33,6.44,1633.33,6.23,1647.22,6.14,1661.11,8.2,1580.56,8.86,1572.22,8.85,1572.22,6.19,1647.22,6.31,1641.67
97,14.8,1630.56,13.18,1594.44,14.32,1569.44,12.57,1580.56,12.89,1569.44,11.12,1594.44,9.12,1619.44,12.52,1538.89,8.25,1630.56,11.71,1552.78,7.29,1655.56,7.54,1641.67,12.88,1527.78,13.66,1522.22,8.46,1613.89,7.8,1630.56,6.55,1658.33,7.52,1625.0,6.75,1638.89,11.74,1541.67,19.19,1494.44,12.57,1525.0,13.1,1516.67,19.1,1494.44,13.1,1516.67,12.57,1525.0,6.6,1627.78,12.57,1525.0,12.46,1525.0,12.9,1519.44,12.95,1516.67,7.27,1613.89,8.66,1575.0,11.81,1533.33,13.87,1511.11,9.7,1552.78,9.39,1566.67,9.43,1561.11,9.39,1566.67,8.48,1580.56,9.14,1569.44,17.3,1488.89,8.45,1577.78,6.43,1627.78,8.81,1575.0,6.2,1647.22,10.53,1544.44,10.61,1541.67,9.13,1561.11
98,15.78,1625.0,10.65,1644.44,9.77,1652.78,14.82,1558.33,15.76,1547.22,8.9,1630.56,8.63,1630.56,9.76,1605.56,8.59,1625.0,11.8,1550.0,8.06,1638.89,6.54,1683.33,7.1,1658.33,13.85,1516.67,12.36,1530.56,6.63,1658.33,6.47,1680.56,7.52,1625.0,11.74,1541.67,9.88,1561.11,13.29,1516.67,7.87,1611.11,12.57,1525.0,6.39,1652.78,12.57,1525.0,9.69,1555.56,12.52,1527.78,8.82,1583.33,7.54,1616.67,12.06,1533.33,15.22,1500.0,8.95,1572.22,7.68,1600.0,8.95,1572.22,13.87,1511.11,9.39,1566.67,12.04,1530.56,8.66,1575.0,12.89,1519.44,6.36,1644.44,12.89,1519.44,15.45,1497.22,16.0,1494.44,8.81,1575.0,9.09,1566.67,6.33,1641.67,6.18,1650.0,8.91,1569.44,9.05,1566.67
99,16.02,1633.33,11.39,1627.78,11.97,1605.56,9.3,1638.89,14.7,1550.0,12.2,1563.89,9.99,1608.33,8.26,1641.67,10.08,1597.22,10.17,1580.56,7.97,1644.44,7.36,1650.0,11.31,1552.78,11.74,1541.67,7.92,1633.33,9.09,1597.22,6.44,1686.11,7.52,1625.0,12.74,1522.22,12.74,1522.22,9.88,1561.11,11.62,1538.89,12.57,1525.0,16.5,1500.0,14.07,1511.11,12.57,1525.0,16.88,1497.22,6.6,1627.78,6.31,1658.33,12.95,1516.67,19.72,1483.33,8.17,1591.67,8.95,1572.22,11.46,1536.11,13.87,1511.11,8.95,1572.22,8.95,1572.22,8.95,1572.22,7.25,1605.56,6.21,1647.22,10.48,1547.22,13.62,1508.33,6.43,1627.78,8.2,1580.56,15.88,1494.44,6.32,1644.44,6.34,1638.89,10.53,1544.44,12.16,1525.0
